(548.8983897487633, -811.1670003901236),
(549.2204121699252, -810.784577090458),
(549.5424345910872, -810.4021537907925),
(549.8644570122491, -810.0197304911269),
(550.186479433411, -809.6373071914613),
(550.508501854573, -809.2548838917958),
(550.8307304739697, -808.8726896839968),
(551.1529590933663, -808.4904954761978),
(551.475187712763, -808.1083012683988),
(551.7974163321597, -807.7261070605998),
(552.1196449515564, -807.3439128528008),
(552.4418735709531, -806.9617186450018),
(552.7628549690342, -806.5784704412724),
(553.0838363671152, -806.195222237543),
(553.4048177651962, -805.8119740338136),
(553.7257991632772, -805.4287258300842),
(554.0467805613582, -805.0454776263548),
(554.3677619594392, -804.6622294226254),
(554.6887276506055, -804.2789679913848),
(555.0096933417718, -803.8957065601442),
(555.3306590329381, -803.5124451289036),
(555.6516247241044, -803.1291836976629),
(555.9725904152707, -802.7459222664223),
(556.293556106437, -802.3626608351817),
(556.6180598618951, -801.9823951644488),
(556.9425636173531, -801.6021294937159),
(557.2670673728112, -801.221863822983),
(557.5924275761906, -800.8423318559398),
(557.9177877795701, -800.4627998888967),
(558.2431479829495, -800.0832679218536),
(558.5687164092217, -799.7039148433503),
(558.8942848354939, -799.324561764847),
(559.219853261766, -798.9452086863437),
(559.5454724593002, -798.5658992566534),
(559.8710916568343, -798.1865898269632),
(560.1967108543685, -797.807280397273),
(560.5223438068847, -797.4279827947581),
(560.8479767594009, -797.0486851922433),
(561.1736097119172, -796.6693875897284),
(561.4992426644334, -796.2900899872136),
(561.8248756169496, -795.9107923846988),
(562.1490708252604, -795.5302727131408),
(562.4732660335712, -795.1497530415828),
(562.7967361222856, -794.7686206410159),
(563.1202062109999, -794.387488240449),
(563.4436762997142, -794.0063558398821),
(563.7671463884285, -793.6252234393152),
(564.0906007801669, -793.2440771803921),
(564.376825844869, -792.9068005336449),
(564.376825844869, -792.9068005336449),
(564.7002962525487, -792.5256686495258),
(565.0237666602284, -792.1445367654067),
(565.347237067908, -791.7634048812876),
(565.6707074755877, -791.3822729971685),
(565.9943769736092, -791.0012954726851),
(566.3180464716306, -790.6203179482018),
(566.6417977226967, -790.2394420833347),
(566.9655489737627, -789.8585662184676),
(567.2893002248287, -789.4776903536005),
(567.613062048944, -789.0968279688175),
(567.9368238730593, -788.7159655840345),
(568.2605856971746, -788.3351031992515),
(568.5843487220062, -787.9542424300801),
(568.9081117468378, -787.5733816609086),
(569.2318747716694, -787.1925208917371),
(569.5556379546158, -786.8116603353288),
(569.8794011375622, -786.4307997789206),
(570.2031643205087, -786.0499392225123),
(570.5269275383207, -785.6690787062091),
(570.8506907561327, -785.2882181899059),
(571.1744539739448, -784.9073576736027),
(571.4982171917568, -784.5264971572996),
(571.8219804095688, -784.1456366409964),
(572.1440707767727, -783.7633400825433),
(572.4661611439765, -783.3810435240903),
(572.7882515111803, -782.9987469656372),
(573.1100500000941, -782.6162012969523),
(573.431848489008, -782.2336556282675),
(573.7536469779218, -781.8511099595826),
(574.0753718505434, -781.4685079001362),
(574.3970967231651, -781.0859058406897),
(574.7188215957867, -780.7033037812433),
(575.0405335947323, -780.320691873484),
(575.3622455936779, -779.9380799657246),
(575.6839575926235, -779.5554680579652),
(576.0061035747093, -779.1732109199778),
(576.3282495567951, -778.7909537819904),
(576.6503955388808, -778.408696644003),
(576.9725415209666, -778.0264395060157),
(577.2899427222821, -777.6402131087339),
(577.6073439235977, -777.2539867114521),
(577.9247451249132, -776.8677603141703),
(578.2421463262287, -776.4815339168885),
(578.5595475275443, -776.0953075196066),
(578.8769487288598, -775.7090811223248),
(579.1937135680922, -775.3223300437874),
(579.5104784073246, -774.9355789652499),
(579.827243246557, -774.5488278867124),
(580.1440080857894, -774.1620768081749),
(580.4607729250218, -773.7753257296374),
(580.7710028238935, -773.3833284591697),
(581.0812327227651, -772.9913311887019),
(581.3914626216367, -772.5993339182342),
(581.7016925205083, -772.2073366477664),
(582.01192241938, -771.8153393772986),
(582.3221523182516, -771.4233421068309),
(582.6205471985269, -771.0225709938595),
(582.9189420788022, -770.6217998808881),
(583.2173369590774, -770.2210287679168),
(583.4956470622084, -769.8057703270092),
(583.7739571653393, -769.3905118861016),
(584.0522672684702, -768.9752534451941),
(584.3305773716012, -768.5599950042865),
(584.6088874747321, -768.144736563379),
(584.8648111092717, -767.715270743032),
(585.1207347438113, -767.285804922685),
(585.376658378351, -766.856339102338),
(585.6325820128906, -766.426873281991),
(585.8885056474302, -765.997407461644),
(586.1305614698783, -765.5600196813032),
(586.3726172923265, -765.1226319009623),
(586.6146731147746, -764.6852441206215),
(586.8567289372228, -764.2478563402807),
(587.0987847596709, -763.8104685599399),
(587.3340348764915, -763.3695304807774),
(587.5692849933121, -762.9285924016149),
(587.8045351101326, -762.4876543224524),
(588.03910615959, -762.0464434315595),
(588.2736772090474, -761.6052325406666),
(588.5082482585048, -761.1640216497738),
(588.7428193079621, -760.7228107588809),
(589.0241835330578, -760.3095560191742),
(589.3055477581535, -759.8963012794676),
(589.5869119832491, -759.483046539761),
(589.8682762083448, -759.0697918000543),
(590.149776268625, -758.6566290249516),
(590.4312763289053, -758.2434662498489),
(590.7127763891855, -757.8303034747462),
(590.9942764494657, -757.4171406996435),
(591.2757811954453, -757.0039810981033),
(591.557285941425, -756.5908214965631),
(591.8387906874046, -756.1776618950229),
(592.1202954333843, -755.7645022934827),
(592.4147543698128, -755.3605638243963),
(592.7205294781248, -754.9651624167931),
(593.0263045864368, -754.5697610091898),
(593.3320796947488, -754.1743596015866),
(593.6378548030608, -753.7789581939834),
(593.9436299113728, -753.3835567863802),
(594.2494050196848, -752.9881553787769),
(594.5611054457629, -752.5973697213877),
(594.872805871841, -752.2065840639985),
(595.1845062979191, -751.8157984066094),
(595.5007618537618, -751.4286724100466),
(595.8170174096044, -751.0415464134838),
(596.1332729654471, -750.6544204169211),
(596.4495285212897, -750.2672944203583),
(596.7657840771324, -749.8801684237956),
(597.082039632975, -749.4930424272328),
(597.3996281148158, -749.107003840161),
(597.7172165966565, -748.7209652530893),
(598.0348050784972, -748.3349266660175),
(598.352393560338, -747.9488880789457),
(598.6699820421787, -747.562849491874),
(598.9918312056848, -747.1803562041489),
(599.3136803691908, -746.7978629164238),
(599.6355295326969, -746.4153696286987),
(599.9573786962029, -746.0328763409736),
(600.279227859709, -745.6503830532486),
(600.601077023215, -745.2678897655235),
(600.9233681278797, -744.8857688154934),
(601.2456592325444, -744.5036478654633),
(601.5679503372091, -744.1215269154333),
(601.8902414418739, -743.7394059654032),
(602.2125325465386, -743.3572850153731),
(602.5348236512033, -742.975164065343),
(602.8571547417777, -742.5930768473677),
(603.179485832352, -742.2109896293923),
(603.5018169229264, -741.828902411417),
(603.822714764187, -741.4456211192256),
(604.1436126054476, -741.0623398270343),
(604.4645104467082, -740.679058534843),
(604.7854082879688, -740.2957772426516),
(605.1063061292294, -739.9124959504603),
(605.42720397049, -739.529214658269),
(605.7477757177586, -739.1456712280648),
(606.0683474650272, -738.7621277978606),
(606.3889192122957, -738.3785843676563),
(606.7094909595643, -737.9950409374521),
(607.0300627068328, -737.6114975072479),
(607.3506344541014, -737.2279540770437),
(607.6711925462429, -736.8443996871932),
(607.9917506383844, -736.4608452973428),
(608.3123087305258, -736.0772909074923),
(608.6328668226673, -735.6937365176418),
(608.9534249148088, -735.3101821277913),
(609.2739830069503, -734.9266277379409),
(609.5993553556242, -734.5471629997679),
(609.9247277042981, -734.167698261595),
(610.250100052972, -733.788233523422),
(610.5754724016459, -733.4087687852491),
(610.9008447503198, -733.0293040470762),
(611.2262170989937, -732.6498393089032),
(611.5521144723708, -732.2708269799166),
(611.8780118457479, -731.89181465093),
(612.203909219125, -731.5128023219434),
(612.529806592502, -731.1337899929567),
(612.851050804615, -730.750761660347),
(613.1722950167281, -730.3677333277374),
(613.4935392288411, -729.9847049951277),
(613.8147834409541, -729.601676662518),
(614.1360276530671, -729.2186483299083),
(614.4572718651801, -728.8356199972986),
(614.7781704496205, -728.4522977415113),
(615.0990690340608, -728.068975485724),
(615.4199676185011, -727.6856532299366),
(615.7408662029414, -727.3023309741493),
(616.0617647873818, -726.919008718362),
(616.3826633718221, -726.5356864625746),
(616.706205280334, -726.1546978561964),
(617.0297471888458, -725.7737092498182),
(617.3532890973577, -725.39272064344),
(617.6768310058695, -725.0117320370618),
(618.0003729143814, -724.6307434306837),
(618.3239148228932, -724.2497548243055),
(618.6476904944553, -723.8689782645846),
(618.9714661660174, -723.4882017048637),
(619.2952418375795, -723.1074251451429),
(619.6190175091416, -722.726648585422),
(619.9427931807037, -722.3458720257012),
(620.0748810248915, -722.1905300426297),
(620.0748810248915, -722.1905300426297),
(620.4002807204272, -721.8110544421074),
(620.7256804159629, -721.4315788415852),
(621.0510801114985, -721.0521032410629),
(621.3764798070342, -720.6726276405407),
(621.7018795025699, -720.2931520400184),
(622.0272792261643, -719.9136764635301),
(622.3526789497587, -719.5342008870418),
(622.6780786733531, -719.1547253105535),
(623.0034783969475, -718.7752497340653),
(623.3288781205418, -718.395774157577),
(623.6542778441362, -718.0162985810887),
(623.979677571236, -717.636823007603),
(624.3050772983358, -717.2573474341173),
(624.6304770254357, -716.8778718606316),
(624.9558767525355, -716.4983962871459),
(625.2812764796353, -716.1189207136601),
(625.6066762067351, -715.7394451401744),
(625.9320759340185, -715.3599695668461),
(626.2574756613019, -714.9804939935177),
(626.5828753885853, -714.6010184201893),
(626.9082751158687, -714.221542846861),
(627.2336748431521, -713.8420672735326),
(627.5590745704355, -713.4625917002043),
(627.884474297837, -713.0831161269771),
(628.2098740252384, -712.7036405537499),
(628.5352737526398, -712.3241649805227),
(628.8606734800412, -711.9446894072955),
(629.1860732074426, -711.5652138340683),
(629.5115195458936, -711.1857984719012),
(629.8369658843446, -710.806383109734),
(630.1624122227956, -710.4269677475669),
(630.4878585612466, -710.0475523853997),
(630.8133048996976, -709.6681370232326),
(631.1370376914222, -709.2872488336986),
(631.4607704831467, -708.9063606441647),
(631.7845032748712, -708.5254724546307),
(632.1082360665957, -708.1445842650968),
(632.4319688583203, -707.7636960755628),
(632.7557016500448, -707.3828078860289),
(633.0786246796313, -707.0012429098144),
(633.4015477092178, -706.6196779336),
(633.7244707388043, -706.2381129573855),
(634.0473937683907, -705.856547981171),
(634.3703167979772, -705.4749830049566),
(634.6932398275637, -705.0934180287421),
(635.0160894409644, -704.7117918492362),
(635.338939054365, -704.3301656697303),
(635.6614540568053, -703.9482479367668),
(635.9839690592455, -703.5663302038034),
(636.3064840616858, -703.18441247084),
(636.628999064126, -702.8024947378766),
(636.9515140665662, -702.4205770049132),
(637.2740290690065, -702.0386592719498),
(637.5964985278381, -701.6567019193542),
(637.9189679866697, -701.2747445667586),
(638.2414374455013, -700.892787214163),
(638.563906904333, -700.5108298615675),
(638.8863763631646, -700.1288725089719),
(639.2088458219962, -699.7469151563763),
(639.5313137469884, -699.3649562092484),
(639.8537816719806, -698.9829972621204),
(640.0341421900084, -698.7693626391701),
(640.0341421900084, -698.7693626391701),
(640.4659581649889, -698.5178420896482),
(640.8977741399694, -698.2663215401262),
(641.32959011495, -698.0148009906043),
(641.7614060899305, -697.7632804410823),
(642.193222046383, -697.5117598593224),
(642.6250380028355, -697.2602392775625),
(643.056853959288, -697.0087186958026),
(643.4886699157405, -696.7571981140427),
(643.9204858717015, -696.5056775314257),
(644.3523018276626, -696.2541569488087),
(644.7841177836236, -696.0026363661917),
(645.2159337395847, -695.7511157835747),
(645.5760590796314, -695.4044098951554),
(645.936184419678, -695.057704006736),
(646.2963097597247, -694.7109981183166),
(646.6564350997714, -694.3642922298973),
(647.0165604398181, -694.0175863414779),
(647.3766857798648, -693.6708804530585),
(647.73055968067, -693.3177821223288),
(648.0844335814752, -692.9646837915991),
(648.4383074822804, -692.6115854608694),
(648.7921813830856, -692.2584871301397),
(649.1460552838907, -691.9053887994099),
(649.4997985310488, -691.5521592912679),
(649.8535417782068, -691.1989297831259),
(650.2072850253649, -690.8457002749839),
(650.5610282725229, -690.4924707668418),
(650.9147376204546, -690.1392072394921),
(651.2684469683863, -689.7859437121423),
(651.6221563163181, -689.4326801847925),
(651.9636986884714, -689.067686771598),
(652.3052410606247, -688.7026933584035),
(652.646783432778, -688.337699945209),
(652.9883258049313, -687.9727065320145),
(653.3298681770846, -687.60771311882),
(653.6553342659947, -687.2283240169079),
(653.9808003549049, -686.8489349149958),
(654.306266443815, -686.4695458130836),
(654.6317325327252, -686.0901567111715),
(654.9571986216354, -685.7107676092594),
(655.2826647105455, -685.3313785073473),
(655.6060124599095, -684.9501835397887),
(655.9293602092735, -684.5689885722301),
(656.2527079586374, -684.1877936046715),
(656.5760557080014, -683.8065986371129),
(656.8994034573653, -683.4254036695543),
(657.2227512067293, -683.0442087019957),
(657.5458270834647, -682.6627834354714),
(657.8689029602001, -682.2813581689471),
(658.1919788369355, -681.8999329024228),
(658.5150547136709, -681.5185076358986),
(658.8381305904063, -681.1370823693743),
(659.1612064671417, -680.75565710285),
(659.4834138381896, -680.3734849465453),
(659.8056212092374, -679.9913127902406),
(660.1278285802853, -679.6091406339359),
(660.4500359513331, -679.2269684776312),
(660.772243322381, -678.8447963213265),
(661.0944506934288, -678.4626241650218),
(661.4170104006652, -678.0807336503012),
(661.7395701079015, -677.6988431355807),
(662.0621298151378, -677.3169526208601),
(662.3846895223742, -676.9350621061395),
(662.7072492296105, -676.553171591419),
(663.0298089368468, -676.1712810766984),
(663.3524057959776, -675.7894203342964),
(663.6750026551083, -675.4075595918945),
(663.997599514239, -675.0256988494925),
(664.3201963733698, -674.6438381070906),
(664.6427932325005, -674.2619773646886),
(664.9653900916312, -673.8801166222867),
(665.2879900242618, -673.4982583435174),
(665.2879900242618, -673.4982583435174),
(665.6105899568925, -673.1164000647481),
(665.9331898895231, -672.7345417859788),
(666.2557898221537, -672.3526835072095),
(666.5783897547843, -671.9708252284402),
(666.900989687415, -671.5889669496709),
(667.2235898005688, -671.2071088156061),
(667.5461899137226, -670.8252506815414),
(667.8687900268765, -670.4433925474767),
(668.1913901400303, -670.061534413412),
(668.5139902531841, -669.6796762793473),
(668.836590366338, -669.2978181452826),
(669.1591904852562, -668.9159600158263),
(669.4817906041744, -668.53410188637),
(669.8043907230926, -668.1522437569137),
(670.1269908420109, -667.7703856274574),
(670.4495909609291, -667.388527498001),
(670.7721910803266, -667.0066693689486),
(671.0947911997241, -666.6248112398961),
(671.4173913191216, -666.2429531108436),
(671.7399914385192, -665.8610949817911),
(672.0625915579167, -665.4792368527386),
(672.3851916773142, -665.0973787236861),
(672.7077917964926, -664.7155205944482),
(673.0303919156711, -664.3336624652103),
(673.3529920348495, -663.9518043359724),
(673.675592154028, -663.5699462067345),
(673.9981922732064, -663.1880880774966),
(674.3207923923849, -662.8062299482586),
(674.6433925116181, -662.424371819067),
(674.9659926308514, -662.0425136898754),
(675.2885927500846, -661.6606555606837),
(675.6111928693178, -661.2787974314921),
(675.9337929885511, -660.8969393023004),
(676.2563931077843, -660.5150811731088),
(676.5789932269084, -660.133223043825),
(676.9015933460325, -659.7513649145411),
(677.2241934651566, -659.3695067852573),
(677.5467935842807, -658.9876486559734),
(677.8693937034049, -658.6057905266896),
(678.191993822529, -658.2239323974057),
(678.5145939416973, -657.8420742681592),
(678.8371940608656, -657.4602161389126),
(679.1597941800339, -657.0783580096661),
(679.4823942992023, -656.6964998804195),
(679.8049944183706, -656.314641751173),
(680.1275945375389, -655.9327836219264),
(680.4501946568452, -655.5509254927964),
(680.7727947761514, -655.1690673636664),
(681.0953948954576, -654.7872092345364),
(681.4179950147638, -654.4053511054063),
(681.7405951340701, -654.0234929762763),
(682.063195253461, -653.641634847218),
(682.3857953728519, -653.2597767181597),
(682.7083954922429, -652.8779185891015),
(683.0309956116338, -652.4960604600432),
(683.3535957310247, -652.1142023309849),
(683.6761958504156, -651.7323442019266),
(683.9987960401443, -651.3504861322072),
(684.3213962298729, -650.9686280624877),
(684.6439964196015, -650.5867699927683),
(684.9665966093302, -650.2049119230488),
(685.2891967990588, -649.8230538533294),
(685.6117969887874, -649.4411957836099),
(685.8107411116362, -649.2057079533115),
(685.8107411116362, -649.2057079533115),
(686.1358890495426, -648.8262534765119),
(686.461036987449, -648.4467989997122),
(686.783058727731, -648.0644970955419),
(687.105080468013, -647.6821951913716),
(687.4271022082951, -647.2998932872014),
(687.7491239485771, -646.9175913830311),
(688.0711456888591, -646.5352894788608),
(688.3931674291412, -646.1529875746905),
(688.7149661029049, -645.7704868653182),
(689.0367647766686, -645.3879861559458),
(689.3585634504324, -645.0054854465734),
(689.6803621241961, -644.622984737201),
(690.0025725355773, -644.2407845463165),
(690.3247829469585, -643.858584355432),
(690.6469933583397, -643.4763841645474),
(690.9692502982758, -643.0942183794665),
(691.2915072382119, -642.7120525943856),
(691.613764178148, -642.3298868093046),
(691.9344325919576, -641.9463119890457),
(692.2551010057672, -641.5627371687868),
(692.5757694195768, -641.1791623485279),
(692.8964378333864, -640.795587528269),
(693.2171062471959, -640.4120127080101),
(693.5377746610055, -640.0284378877512),
(693.8583430375544, -639.6447758202639),
(694.1789114141033, -639.2611137527766),
(694.4994797906521, -638.8774516852893),
(694.820048167201, -638.493789617802),
(695.1406165437498, -638.1101275503147),
(695.4611849202987, -637.7264654828274),
(695.781747426055, -637.3427982992724),
(696.1023099318112, -636.9591311157175),
(696.4228724375674, -636.5754639321625),
(696.7434349433237, -636.1917967486075),
(697.0639974490799, -635.8081295650526),
(697.3845599548362, -635.4244623814976),
(697.7051220864429, -635.0407948736032),
(698.0256842180496, -634.6571273657088),
(698.3462463496563, -634.2734598578144),
(698.666808481263, -633.88979234992),
(698.9873706128698, -633.5061248420255),
(699.3079327444765, -633.1224573341311),
(699.6284948571936, -632.7387898099079),
(699.9490569699107, -632.3551222856846),
(700.2696190826277, -631.9714547614614),
(700.5901811953448, -631.5877872372381),
(700.9107433080619, -631.2041197130148),
(701.231305420779, -630.8204521887916),
(701.5518677044201, -630.4367848072519),
(701.8724299880613, -630.0531174257122),
(702.1929922717025, -629.6694500441725),
(702.5135545553436, -629.2857826626329),
(702.8341168389848, -628.9021152810932),
(703.1546791226259, -628.5184478995535),
(703.475287716444, -628.1348206638136),
(703.795896310262, -627.7511934280736),
(704.1165049040801, -627.3675661923337),
(704.4371134978982, -626.9839389565938),
(704.7577220917162, -626.6003117208538),
(705.0458903826657, -626.2555012353696),
(705.0458903826657, -626.2555012353696),
(705.3650211955533, -625.8705998007173),
(705.6841520084408, -625.485698366065),
(706.0032828213284, -625.1007969314127),
(706.322413634216, -624.7158954967604),
(706.6415444658002, -624.330994077605),
(706.9606752973843, -623.9460926584497),
(707.2798061289685, -623.5611912392944),
(707.5989369605527, -623.1762898201391),
(707.9180677921369, -622.7913884009838),
(708.237198626975, -622.4064869845256),
(708.5563294618131, -622.0215855680674),
(708.8754602966512, -621.6366841516092),
(709.1945911314893, -621.251782735151),
(709.5137219663275, -620.8668813186928),
(709.8328528015162, -620.4819799025253),
(710.1519836367049, -620.0970784863578),
(710.4711144718937, -619.7121770701903),
(710.7902453070824, -619.3272756540227),
(711.1093761422711, -618.9423742378552),
(711.4285069775844, -618.557472821791),
(711.7476378128978, -618.1725714057267),
(712.0667686482111, -617.7876699896624),
(712.3858994835244, -617.4027685735981),
(712.7050303188378, -617.0178671575338),
(713.0441403987709, -616.6504892129826),
(713.383250478704, -616.2831112684314),
(713.7223605586371, -615.9157333238802),
(714.0614706385702, -615.548355379329),
(714.4005807185033, -615.1809774347778),
(714.7396907984364, -614.8135994902266),
(715.0809935516272, -614.4482647632926),
(715.422296304818, -614.0829300363587),
(715.7635990580088, -613.7175953094247),
(716.1049018111996, -613.3522605824908),
(716.4462045643904, -612.9869258555568),
(716.7875073175812, -612.6215911286229),
(717.2062776201502, -612.3489726450679),
(717.6250479227192, -612.0763541615129),
(718.0438182252882, -611.8037356779579),
(718.4625885278572, -611.5311171944029),
(718.8813588304262, -611.2584987108479),
(719.3001291329952, -610.9858802272929),
(719.757112881445, -610.7829881598876),
(720.2140966298948, -610.5800960924823),
(720.6710803783446, -610.377204025077),
(721.1280641267945, -610.1743119576718),
(721.5850478752443, -609.9714198902665),
(722.0683147190631, -609.8432736301456),
(722.5515815628819, -609.7151273700248),
(723.0348484067007, -609.586981109904),
(723.5181152505195, -609.4588348497831),
(724.0013820943383, -609.3306885896623),
(724.4846489381571, -609.2025423295414),
(724.9842063057625, -609.1827925827338),
(725.483763673368, -609.1630428359261),
(725.9833210409735, -609.1432930891185),
(726.4832306992016, -609.141388304141),
(726.9831403574298, -609.1394835191634),
(727.4830500156579, -609.1375787341858),
(727.9829596738861, -609.1356739492082),
(728.4604259639555, -609.2828101911458),
(728.9378922540249, -609.4299464330834),
(729.4153585440943, -609.577082675021),
(729.8928248341637, -609.7242189169585),
(730.3702911242331, -609.8713551588961),
(730.7985347606162, -610.1291843464829),
(731.2267783969994, -610.3870135340698),
(731.6550220333826, -610.6448427216566),
(732.0832656697658, -610.9026719092434),
(732.504954191587, -611.170936467957),
(732.9266427134082, -611.4392010266705),
(733.3483312352295, -611.707465585384),
(733.7700197570507, -611.9757301440976),
(734.164915002841, -612.2824031398216),
(734.5598102486313, -612.5890761355455),
(734.9547054944215, -612.8957491312694),
(735.3496007402118, -613.2024221269934),
(735.7444959860021, -613.5090951227173),
(736.1393912317924, -613.8157681184413),
(736.5312340404425, -614.1263414619153),
(736.9230768490927, -614.4369148053894),
(737.3149196577428, -614.7474881488635),
(737.706762466393, -615.0580614923375),
(738.0986052750432, -615.3686348358116),
(738.4904480836933, -615.6792081792856),
(738.8819865630187, -615.990165796558),
(739.2735250423441, -616.3011234138304),
(739.6650635216695, -616.6120810311028),
(740.0566020009949, -616.9230386483752),
(740.4481404803203, -617.2339962656475),
(740.8396789596457, -617.5449538829199),
(741.2311893476549, -617.8559469296456),
(741.6226997356641, -618.1669399763713),
(742.0142101236734, -618.477933023097),
(742.4057205116826, -618.7889260698227),
(742.7972308996918, -619.0999191165483),
(743.1887412877011, -619.410912163274),
(743.3878878321266, -619.5691025778651),
(743.3878878321266, -619.5691025778651),
(743.7828667548413, -619.8754015027487),
(744.177845677556, -620.1817004276322),
(744.5728246002707, -620.4879993525158),
(744.9678037303759, -620.7942980099737),
(745.362782860481, -621.1005966674315),
(745.7577619905862, -621.4068953248894),
(746.1521590087378, -621.7142195625237),
(746.5465560268894, -622.0215438001579),
(746.940953045041, -622.3288680377922),
(747.3353500631927, -622.6361922754264),
(747.7297470813443, -622.9435165130607),
(748.1241440994959, -623.2508407506949),
(748.5185138991885, -623.5582015020177),
(748.9128836988812, -623.8655622533405),
(749.3072534985738, -624.1729230046633),
(749.7022744904054, -624.4794329301623),
(750.0972954822371, -624.7859428556612),
(750.4923164740687, -625.0924527811602),
(750.8873374659004, -625.3989627066592),
(751.282358457732, -625.7054726321581),
(751.6773794495637, -626.0119825576571),
(752.0724692315138, -626.3184017422217),
(752.4675590134639, -626.6248209267862),
(752.862648795414, -626.9312401113508),
(753.2577385773641, -627.2376592959154),
(753.6528283593142, -627.5440784804799),
(754.0479181412643, -627.8504976650445),
(754.4430149902654, -628.1569075172491),
(754.8381118392665, -628.4633173694538),
(755.2332086882676, -628.7697272216584),
(755.6283055372687, -629.076137073863),
(756.0234023862698, -629.3825469260677),
(756.4184992352709, -629.6889567782723),
(756.8135967555256, -629.9953657428331),
(757.2086942757803, -630.3017747073939),
(757.603791796035, -630.6081836719546),
(757.9988893162897, -630.9145926365154),
(758.3939868365444, -631.2210016010762),
(758.7890843567991, -631.527410565637),
(759.1837457771601, -631.8343982916576),
(759.5784071975211, -632.1413860176783),
(759.9730686178821, -632.448373743699),
(760.3703129985084, -632.7520041659049),
(760.7675573791348, -633.0556345881107),
(761.1648017597612, -633.3592650103166),
(761.5620461403876, -633.6628954325224),
(761.9598603583669, -633.9657763314631),
(762.3576745763462, -634.2686572304037),
(762.7554887943255, -634.5715381293444),
(763.1533030123048, -634.874419028285),
(763.2866060360102, -634.9759109755978),
(763.2866060360102, -634.9759109755978),
(763.6802086349715, -635.2841502200208),
(764.0738112339327, -635.5923894644438),
(764.467413832894, -635.9006287088669),
(764.8610165494064, -636.2088678032002),
(765.2546192659188, -636.5171068975335),
(765.6482219824312, -636.8253459918668),
(766.0418246989436, -637.1335850862001),
(766.4354275410976, -637.441824020217),
(766.8290303832516, -637.750062954234),
(767.2226332254056, -638.0583018882509),
(767.6162360675596, -638.3665408222678),
(768.0098389097136, -638.6747797562847),
(768.4034417518676, -638.9830186903016),
(768.7982611757354, -639.2897813065913),
(769.1930805996033, -639.596543922881),
(769.5879000234711, -639.9033065391707),
(769.9827194473389, -640.2100691554604),
(770.3775388712068, -640.51683177175),
(770.7723582950746, -640.8235943880397),
(771.166850569455, -641.1307744764637),
(771.5613428438355, -641.4379545648876),
(771.955835118216, -641.7451346533115),
(772.3503273925965, -642.0523147417355),
(772.7448196669769, -642.3594948301594),
(773.1393119413574, -642.6666749185833),
(773.5337954008768, -642.9738662419287),
(773.9282788603962, -643.2810575652741),
(774.3227623199156, -643.5882488886194),
(774.717245779435, -643.8954402119648),
(775.1117292389544, -644.2026315353102),
(775.5062126984737, -644.5098228586555),
(775.9006960154046, -644.8170143631997),
(776.2951793323355, -645.124205867744),
(776.6896626492663, -645.4313973722882),
(777.0841459661972, -645.7385888768324),
(777.478629283128, -646.0457803813766),
(777.8731126000589, -646.3529718859209),
(778.2675958847811, -646.6601634317828),
(778.6620791695034, -646.9673549776448),
(779.0565624542256, -647.2745465235068),
(779.4510457389479, -647.5817380693688),
(779.8455290236701, -647.8889296152308),
(780.2400123083924, -648.1961211610928),
(780.6344955210607, -648.5033127994728),
(781.028978733729, -648.8105044378528),
(781.4234619463973, -649.1176960762328),
